날짜,요일,시간,구장,홈팀,홈팀점수,원정팀,원정팀점수,홈팀승리여부,구분
2023.04.26,수,18:30,잠실야구장,LG,3,SSG,5,False,페넌트레이스
2023.04.27,목,18:30,사직야구장,롯데,3,한화,0,True,페넌트레이스
2023.04.27,목,18:30,고척 스카이돔,키움,3,KT,1,True,페넌트레이스
2023.04.27,목,18:30,광주-기아 챔피언스필드,KIA,5,NC,0,True,페넌트레이스
2023.04.27,목,18:30,대구 삼성 라이온즈 파크,삼성,7,두산,6,True,페넌트레이스
2023.04.27,목,18:30,잠실야구장,LG,6,SSG,3,True,페넌트레이스
2023.04.28,금,18:30,잠실야구장,LG,3,KIA,4,False,페넌트레이스
2023.04.28,금,18:30,한화생명 이글스 파크,한화,4,NC,6,False,페넌트레이스
2023.04.28,금,18:30,인천 SSG 랜더스 필드,SSG,4,두산,1,True,페넌트레이스
2023.04.28,금,18:30,수원 케이티위즈 파크,KT,9,삼성,10,True,페넌트레이스
2023.04.28,금,18:30,사직야구장,롯데,5,키움,2,True,페넌트레이스
2023.04.29,토,17:00,잠실야구장,LG,3,KIA,6,False,페넌트레이스
2023.04.29,토,17:00,한화생명 이글스 파크,한화,2,NC,3,False,페넌트레이스
2023.04.29,토,17:00,인천 SSG 랜더스 필드,SSG,10,두산,4,False,페넌트레이스
2023.04.29,토,17:00,수원 케이티위즈 파크,KT,2,삼성,3,False,페넌트레이스
2023.04.29,토,17:00,사직야구장,-,롯데  -,경기취소,키움,False,페넌트레이스
2023.04.30,일,14:00,잠실야구장,LG,8,KIA,12,True,페넌트레이스
2023.04.30,일,14:00,한화생명 이글스 파크,한화,1,NC,4,False,페넌트레이스
2023.04.30,일,14:00,인천 SSG 랜더스 필드,SSG,0,두산,2,False,페넌트레이스
2023.04.30,일,14:00,수원 케이티위즈 파크,KT,0,삼성,1,False,페넌트레이스
2023.04.30,일,14:00,사직야구장,롯데,5,키움,3,True,페넌트레이스
2023.05.02,화,18:30,잠실야구장,두산,3,한화,0,True,페넌트레이스
2023.05.02,화,18:30,인천 SSG 랜더스 필드,SSG,4,KT,11,True,페넌트레이스
2023.05.02,화,18:30,창원NC파크,NC,3,LG,5,False,페넌트레이스
2023.05.02,화,18:30,광주-기아 챔피언스필드,KIA,4,롯데,7,False,페넌트레이스
2023.05.02,화,18:30,대구 삼성 라이온즈 파크,삼성,0,키움,4,False,페넌트레이스
2023.05.03,수,18:30,잠실야구장,두산,3,한화,8,False,페넌트레이스
2023.05.03,수,18:30,인천 SSG 랜더스 필드,SSG,5,KT,3,True,페넌트레이스
2023.05.03,수,18:30,창원NC파크,NC,1,LG,2,False,페넌트레이스
2023.05.03,수,18:30,광주-기아 챔피언스필드,KIA,10,롯데,2,False,페넌트레이스
