,game_id,stadium_code,sports_type,game_date,day_of_week,is_holiday,start_time,end_time,home_team_win,match_type,audience
3006,2961,BS03,농구,2024-10-23,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3007,2962,WJ01,농구,2024-10-24,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3008,2963,CW02,농구,2024-10-24,목,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3009,2964,BS03,농구,2024-10-25,금,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3010,2965,SU04,농구,2024-10-25,금,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3011,2966,DG04,농구,2024-10-26,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3012,2967,GY01,농구,2024-10-26,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3013,2968,AY01,농구,2024-10-26,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
3014,2969,SO06,농구,2024-10-27,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
3015,2970,SU04,농구,2024-10-27,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
3016,2971,WJ01,농구,2024-10-27,일,,0 days 16:00:00,0 days 17:20:00,0,정규시즌,
3017,2972,GY01,농구,2024-10-28,월,,0 days 19:00:00,0 days 20:20:00,1,정규시즌,
3018,2973,SO06,농구,2024-10-29,화,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3019,2974,AY01,농구,2024-10-30,수,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3020,2975,GY01,농구,2024-10-31,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3021,2976,SO06,농구,2024-10-31,목,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3022,2977,BS03,농구,2024-11-01,금,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3023,2978,CW02,농구,2024-11-01,금,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
3024,2979,SU04,농구,2024-11-02,토,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3025,2980,US04,농구,2024-11-02,토,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
3026,2981,SO06,농구,2024-11-02,토,,0 days 16:00:00,0 days 17:20:00,1,정규시즌,
3027,2982,CW02,농구,2024-11-03,일,,0 days 14:00:00,0 days 15:20:00,0,정규시즌,
3028,2983,DG04,농구,2024-11-03,일,,0 days 14:00:00,0 days 15:20:00,1,정규시즌,
3029,2984,BS03,농구,2024-11-03,일,,0 days 16:00:00,0 days 17:20:00,0,정규시즌,
3030,2985,WJ01,농구,2024-11-04,월,,0 days 19:00:00,0 days 20:20:00,0,정규시즌,
