date,region_code,accident_count,game_count,sport_types,has_playoff,temperature,precipitation,weather_condition,is_holiday,weekday
2024-01-26,서울_송파구,0,0,없음,0,,,정보없음,0,금
2024-01-27,서울_송파구,0,0,없음,0,,,정보없음,0,토
2024-01-28,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-01-29,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-01-30,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-01-31,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-02-01,서울_송파구,0,0,없음,0,,,정보없음,0,목
2024-02-02,서울_송파구,0,0,없음,0,,,정보없음,0,금
2024-02-03,서울_송파구,0,0,없음,0,,,정보없음,0,토
2024-02-04,서울_송파구,0,0,없음,0,,,정보없음,0,일
2024-02-05,서울_송파구,0,0,없음,0,,,정보없음,0,월
2024-02-06,서울_송파구,0,0,없음,0,,,정보없음,0,화
2024-02-07,서울_송파구,0,0,없음,0,,,정보없음,0,수
2024-02-08,서울_송파구,0,0,없음,0,,,정보없음,0,목
